TrainNumber	ClusterClass
G1	1
G10	1
G100	2
G1001	1
G1002	1
G1003	1
G1004	1
G1005	1
G1006	1
G1007	1
G1008	1
G1009	1
G101	1
G1010	1
G1012	1
G1017	1
G102	1
G1027	2
G1028	2
G103	1
G1030	2
G1031	2
G1032	1
G1034	2
G1036	1
G1039	2
G104	1
G1040	2
G1042	2
G1045	1
G1046	1
G1047	1
G1049	1
G105	1
G1050	1
G1053	1
G1054	1
G1055	1
G1056	1
G1059	1
G106	1
G1060	1
G1061	1
G1062	1
G1063	1
G1064	1
G1065	1
G1067	1
G1068	1
G1069	1
G107	1
G1070	1
G1071	1
G1072	1
G1074	1
G1075	1
G1076	1
G1077	1
G1078	1
G1079	1
G108	1
G1080	1
G1081	1
G1082	1
G1083	1
G1084	1
G1085	1
G1086	1
G1087	1
G1088	1
G1089	1
G109	1
G1090	1
G1091	1
G1092	1
G1094	1
G1099	1
G11	1
G110	1
G1100	1
G1101	1
G1102	1
G1103	1
G1104	1
G1105	1
G1106	1
G1107	1
G1108	1
G1109	1
G111	1
G1110	1
G1111	1
G1112	1
G1113	1
G1114	1
G1115	1
G1116	1
G1117	1
G1118	1
G112	1
G1120	1
G1121	1
G1122	1
G1123	1
G1124	1
G1125	1
G1126	1
G1127	1
G1128	1
G113	1
G1131	1
G1132	1
G1134	1
G1135	1
G1136	1
G1138	1
G1139	1
G114	1
G1140	2
G1142	1
G1143	1
G1146	1
G1147	2
G1148	2
G1149	2
G115	1
G1151	2
G1152	2
G1153	2
G1154	2
G1155	2
G1156	2
G1158	2
G116	1
G1163	2
G1164	2
G1165	2
G1166	2
G1167	2
G1168	2
G117	1
G1175	2
G1176	2
G118	1
G1181	2
G1182	2
G1183	2
G1184	2
G1185	2
G1186	2
G1189	2
G119	1
G1190	2
G1191	2
G1192	1
G1193	2
G1194	2
G1195	2
G1196	2
G12	1
G1201	2
G1202	2
G1203	2
G1204	2
G1205	2
G1206	2
G1207	2
G1208	2
G121	1
G1211	2
G1212	2
G1213	2
G1214	2
G1215	2
G1216	2
