车次号,K值
C2001,1
C2002,1
C2004,1
C2005,1
C2006,1
C2007,1
C2008,1
C2010,1
C2011,1
C2012,1
C2013,1
C2014,1
C2015,1
C2016,1
C2017,1
C2018,1
C2019,1
C2020,1
C2021,1
C2022,1
C2023,1
C2024,1
C2025,1
C2026,1
C2027,1
C2028,1
C2029,1
C2030,1
C2031,1
C2032,1
C2033,1
C206,2
C2101,1
C2102,1
C2103,1
C2104,1
C2105,1
C2106,1
C2107,1
C2108,1
C2109,1
C2111,1
C2112,1
C2113,1
C2114,1
C2115,1
C2116,1
C2117,1
C2118,1
C2119,1
C2120,1
C2122,1
C2123,1
C2124,1
C2125,1
C2126,1
C2129,1
C2130,1
C2131,1
C2135,1
C2136,1
C2138,1
C2139,1
C2201,1
C2202,1
C2203,1
C2204,1
C2205,1
C2206,1
C2207,1
C2208,1
C2209,1
C2210,1
C2211,1
C2212,1
C2214,1
C2215,1
C2216,1
C2217,1
C2219,1
C2220,1
C2221,1
C2222,1
C2224,1
C2225,1
C2226,1
C2227,1
C2229,1
C2230,1
C2231,1
C2232,1
C2234,1
C2235,1
C2236,1
C2237,1
C2239,1
C2240,1
C2242,1
C2243,1
C2244,1
C2245,1
C2247,1
C2248,1
C2250,1
C2251,1
C2252,1
C2253,1
C2255,1
C2256,1
C2257,1
C2258,1
C2259,1
C2260,1
C2262,1
C2263,1
C2264,1
C2267,1
C2268,1
C2272,1
C2275,1
C2301,1
C2302,1
C2373,2
C2376,2
C2383,2
C2551,1
C2552,1
C2553,1
C2554,1
C2555,1
C2556,1
C2557,1
C2558,1
C2559,1
C2560,1
C2561,1
C2562,1
C2563,1
C2564,1
C2565,1
C2566,1
C2567,1
C2568,1
C2569,1
C2570,1
C2571,1
C2572,1
C2573,1
C2574,1
C2575,1
C2576,1
C2577,1
C2578,1
C2579,1
C2580,1
C2581,1
C2582,1
C2583,1
C2584,1
C2585,1
C2586,1
C2587,1
C2588,1
C2589,1
C2590,1
C2591,1
C2592,1
C2593,1
C2594,1
C2595,1
C2596,1
C2597,1
C2598,1
C2599,1
C2600,1
C2601,1
C2602,1
C2603,1
C2604,1
C2605,1
C2606,1
C2607,1
C2608,1
C2609,1
C2610,1
C2611,1
C2612,1
C2613,1
C2614,1
C2615,1
C2616,1
C2617,1
C2618,1
C2619,1
C2620,1
C2621,1
C2622,1
C2623,1
C2624,1
C2625,1
C2626,1
C2627,1
C2628,1
C2629,1
C2630,1
C2631,1
C2632,1
C2634,1
C3001,1
C3003,1
C3005,1
C3007,1
C3009,1
C3011,1
C3017,2
C3019,2
C3020,2
C3021,1
C3022,1
C3025,2
C3033,2
C3035,2
C3050,2
C3051,1
C3053,1
C3054,1
C3055,2
C3056,2
C3057,1
C3059,1
C3061,1
C3062,1
C3066,1
C3074,1
C3077,2
C3078,1
C3251,1
C3255,2
C3256,2
C3406,2
C3601,1
C3603,1
C3606,1
C3609,1
C3610,2
C3611,1
C3612,2
C3613,1
C3614,1
C3615,1
C3616,1
C3629,1
C3630,1
C3631,2
C3632,2
C3633,2
C3634,2
C3651,1
C3652,1
C3654,1
C3664,2
C3668,2
C3672,1
C3673,1
C3761,1
C3769,2
C3772,2
C3778,2
C3781,1
C3793,2
C3796,2
C3854,2
C3858,2
C3860,2
C3864,2
C3866,2
C3867,2
C3868,2
C3870,2
C3872,2
C3884,2
C3886,2
C3892,2
C402,1
C405,2
C406,2
C411,2
C412,2
C413,2
C414,2
C429,1
C430,2
C491,2
C495,2
C496,2
C549,2
C550,2
C5575,1
C5577,1
C5581,2
C5583,1
C665,2
C6813,2
C6814,2
C7001,1
C7002,1
C7003,1
C7004,1
C7008,1
C7009,1
C7011,1
C7012,1
C7013,1
C7015,1
C7017,1
C7018,1
C7019,1
C7020,1
C7022,1
C7023,1
C7024,1
C7025,1
C7026,1
C7027,1
C7028,1
C7029,1
C7032,1
C7038,1
C7039,1
C7040,1
C7041,1
C7042,1
C7043,1
C7047,1
C7049,1
C7050,1
C7051,1
C7052,1
C7053,1
C7054,1
C7055,1
C7056,1
C7057,1
C7058,1
C7059,1
C7060,1
C7062,1
C7064,1
C7065,1
C7066,1
C7068,1
C7069,1
C7072,1
C7073,1
C7076,1
C7077,1
C7079,1
C7080,1
C7081,1
C7082,1
C7084,1
C7085,1
C7086,1
C7088,1
C7094,1
C7095,1
C7096,1
C7099,1
C7100,1
C7101,1
C7102,1
C7103,1
C7104,1
C7106,1
C7107,1
C7108,1
C7226,2
C7228,2
C7231,2
C7232,2
C7233,1
C7234,2
C7235,1
C7236,1
C7238,2
C7240,2
C7241,1
C7242,2
C7244,2
C7246,2
C7301,1
C7302,1
C7303,1
C7304,1
C7305,1
C7306,1
C7307,1
C7309,1
C7310,1
C7312,1
C7314,1
C7315,1
C7316,1
C7317,1
C7318,1
C7319,1
C7320,1
C7321,1
C7322,1
C7323,1
C7326,1
C7327,1
C7330,1
C7331,1
C7332,1
C7333,1
C7334,1
C7335,1
C7337,1
C7338,1
C7339,1
C7340,1
C7341,1
C7343,1
C7345,1
C7346,1
C7348,1
C7350,1
C77,2
C78,2
C7802,2
C7804,2
C7808,2
C7810,2
C7812,2
C7814,2
C7816,2
C7820,2
C7821,2
C7822,2
C7823,2
C7824,2
C7825,2
C7826,2
C7827,2
C7828,2
C7829,2
C7830,2
C7831,2
C7832,2
C7833,2
C7834,2
C7835,2
C7836,2
C7837,2
C7838,2
C7839,2
C7840,2
C7851,2
C7852,2
C7853,2
C7854,2
C7855,2
C7856,2
C7857,2
C7858,2
C7861,2
C7862,2
C7863,2
C7864,2
C7865,2
C7866,2
C7871,2
C7872,2
C7873,2
C7874,2
C7875,2
C7876,2
C7877,2
C7878,2
C7879,2
C7880,2
C7881,2
C7882,2
C7883,2
C7884,2
C7885,2
C7886,2
C7887,2
C7888,2
C7889,2
C7890,2
C8001,1
C8002,1
C8003,1
C8004,1
C8006,1
C8007,1
C8009,1
C8010,1
C8011,1
C8012,1
C8013,1
C8014,1
C8015,1
C8016,1
C8017,1
C8019,1
C8020,1
C8021,1
C8022,1
C8659,1
C8660,1
C8661,2
C8664,1
C8667,2
C8668,2
C8669,1
C8671,2
C8673,1
C8674,1
C8675,1
C8684,2
C876,2
C878,2
C879,2
C880,2
