车次号,聚类结果
D1,3
D10,3
D1043,1
D1044,2
D1045,2
D1046,2
D1049,2
D1050,2
D1153,1
D1154,1
D121,1
D122,3
D123,3
D124,3
D125,1
D126,3
D127,1
D128,3
D131,3
D132,3
D133,3
D139,3
D146,3
D148,3
D1606,1
D1611,1
D1612,1
D1627,1
D1628,1
D1630,1
D1631,1
D1632,1
D1633,1
D1634,1
D1635,2
D1636,2
D1637,1
D1638,2
D1639,1
D1640,2
D1641,1
D1642,2
D1644,1
D1645,1
D1646,1
D1648,2
D1649,1
D1650,2
D1652,1
D1653,1
D1654,1
D1655,2
D1656,2
D1657,1
D1658,2
D166,2
D1663,2
D1664,2
D1665,1
D1666,2
D1667,2
D1668,2
D1669,1
D1670,2
D1671,2
D1672,2
D1673,2
D1674,2
D1675,1
D1676,2
D1678,2
D168,2
D1681,2
D1682,2
D1683,2
D1684,2
D17,3
D1702,2
D1705,1
D1709,2
D171,1
D1710,2
D1711,2
D1713,2
D1717,2
D1718,2
D172,1
D1723,2
D1724,1
D1725,2
D1726,2
D1727,1
D1728,1
D1730,1
D1731,1
D1733,1
D1734,1
D1787,2
D1788,2
D1791,1
D1793,1
D1794,1
D1796,1
D18,3
D1801,2
D1802,2
D1806,2
D1807,2
D1808,2
D1809,2
D181,1
D1810,2
D1813,2
D1814,2
D1815,2
D1819,2
D182,3
D1820,2
D1821,1
D1822,2
D1825,2
D1826,2
D1827,1
D1828,2
D1831,2
D1832,2
D1833,2
D1835,2
D1838,2
D1840,2
D1845,1
D1846,2
D1851,1
D1853,1
D1854,1
D1855,1
D1857,1
D1860,1
D1861,1
D1862,1
D1864,1
D1866,1
D1867,1
D1868,1
D189,3
D19,3
D190,3
D1902,2
D1903,2
D1907,2
D1908,2
D1909,1
D1910,1
D1911,1
D1912,1
D1914,1
D1915,1
D1917,1
D1919,1
D1920,1
D1921,1
D1923,1
D1924,1
D1928,1
D1930,1
D1931,1
D1932,1
D1933,1
D1934,1
D1935,1
D1936,1
D1937,1
D1939,1
D1944,1
D1946,1
D1947,1
D1948,1
D1949,1
D1950,1
D1951,1
D1952,1
D1953,1
D1954,1
D1957,1
D1958,1
D1965,1
D1966,1
D1967,1
D197,3
D1972,1
D1977,1
D1979,1
D198,3
D1980,1
D1985,1
D1986,1
D1991,1
D1993,1
D1994,1
D1997,1
D1998,1
D2,3
D20,1
D2003,1
D2004,1
D2006,2
D2007,2
D2008,2
D202,3
D203,3
D204,3
D206,2
D208,2
D2105,1
D2106,1
D2107,1
D2121,2
D2122,2
D2123,2
D2124,1
D2125,1
D2128,1
D2129,1
D2130,1
D2131,1
D2132,1
D2134,1
D2135,1
D2136,1
D2145,2
D2146,1
D2147,2
D2148,2
D215,1
D2150,2
D2151,1
D2152,1
D2155,1
D216,3
D2160,2
D2161,1
D2162,1
D2164,1
D217,3
D218,3
D2187,1
D2188,2
D2189,1
D2190,1
D2191,1
D2192,1
D2193,1
D2194,1
D2195,1
D2196,2
D2197,1
D2198,1
D2201,1
D2205,1
D2206,2
D2207,2
D2208,2
D2211,1
D2212,2
D2213,2
D2214,2
D2215,2
D2216,2
D2217,2
D2218,2
D2221,1
D2222,2
D2223,2
D2224,2
D2225,1
D2226,2
D2227,2
D2228,2
D2231,2
D2232,2
D2233,2
D2234,2
D2236,2
D2237,2
D2238,2
D2241,1
D2242,2
D2243,2
D2244,2
D2245,2
D2246,2
D2247,2
D2248,2
D2255,2
D2256,2
D2259,2
D2260,2
D2267,1
D2268,2
D2269,2
D2270,2
D2273,2
D2274,2
D2277,1
D2278,1
D2281,2
D2282,2
D2283,2
D2284,2
D2287,2
D2289,2
D2290,2
D2294,2
D2298,1
D23,1
D2301,1
D2302,2
D2304,2
D2305,1
D2306,1
D2307,1
D2309,1
D2310,1
D2312,1
D2315,2
D2318,2
D2321,2
D2322,1
D2325,2
D2326,1
D2330,1
D2331,1
D2347,1
D2348,1
D2352,2
D2353,1
D2361,2
D2362,2
D2373,2
D2374,2
D2375,1
D2376,2
D2377,1
D2378,2
D2381,1
D2382,1
D2395,1
D24,1
D2411,1
D2424,2
D2429,2
D2430,1
D2431,2
D2432,2
D2493,1
D2494,1
D2497,1
D2498,1
D25,1
D2565,1
D2566,1
D2567,2
D2568,2
D2569,2
D2570,1
D2583,2
D2584,2
D26,3
D265,3
D267,3
D268,3
D269,1
D27,3
D270,1
D2701,3
D2703,2
D2717,2
D2718,3
D2749,2
D2759,2
D2761,1
D2763,1
D2764,1
D2765,1
D2767,1
D2768,1
D2778,2
D2779,2
D2780,2
D2782,1
D2784,1
D2790,1
D2792,1
D2794,2
D2795,2
D2796,2
D2798,1
D28,3
D2800,1
D2802,1
D2804,1
D2810,1
D2812,1
D2818,1
D2820,1
D2821,2
D2822,2
D2824,2
D2826,1
D2828,1
D2853,1
D2855,1
D2858,1
D2861,1
D2862,1
D2865,1
D2867,1
D2869,1
D2871,1
D2873,1
D2874,2
D2875,2
D2895,1
D2896,1
D2897,1
D29,3
D2905,1
D2906,1
D2911,1
D2912,2
D2913,1
D2914,1
D2916,1
D2921,2
D2922,1
D2923,2
D2924,2
D2927,1
D2928,2
D2930,2
D3,3
D30,3
D3005,1
D3006,2
D3007,1
D3008,1
D3010,1
D3012,1
D3013,1
D3014,1
D3015,1
D3016,1
D3021,1
D3025,1
D3027,1
D3045,1
D3048,1
D3055,1
D3058,2
D3059,1
D3060,1
D3061,1
D3062,1
D3063,1
D3064,1
D3066,1
D3068,1
D3069,1
D3071,1
D3072,2
D3073,2
D3074,2
D3077,2
D3078,2
D3089,2
D3090,1
D3091,1
D3092,1
D3101,1
D3102,1
D3103,1
D3104,1
D3107,2
D3108,2
D3121,2
D3122,1
D3123,2
D3124,2
D3125,2
D3126,2
D3131,2
D3132,2
D3141,2
D3142,2
D3145,2
D3146,2
D3147,2
D3148,1
D3151,1
D3153,1
D3154,1
D3156,1
D316,1
D3160,1
D3165,2
D3166,2
D318,1
D3185,1
D3186,1
D3187,2
D3189,1
D3190,1
D3192,1
D3193,1
D3196,1
D3197,1
D3198,1
D3201,2
D3202,2
D3205,2
D3206,2
D3211,1
D3212,1
D3217,1
D3218,2
D3219,1
D3220,1
D3233,2
D3234,1
D3235,2
D3236,1
D3238,1
D3239,2
D3240,2
D3241,1
D3242,1
D3248,1
D3249,2
D3252,2
D3253,1
D3254,2
D3273,1
D3274,2
D3289,1
D3290,1
D3291,2
D3292,2
D3295,2
D3296,2
D3301,1
D3302,1
D3305,1
D3307,2
D3308,2
D3309,1
D3310,1
D3311,1
D3312,1
D3313,1
D3314,1
D3315,1
D3316,1
D3318,1
D3319,1
D3323,1
D3324,1
D3333,1
D3334,1
D3336,1
D3337,1
D3338,1
D3339,1
D3340,1
D3343,1
D3344,1
D3349,2
D3356,2
D35,3
D351,1
D352,2
D353,2
D354,2
D3564,1
D3567,1
D3575,2
D3576,2
D36,3
D361,1
D362,1
D366,2
D367,2
D368,2
D37,3
D377,2
D378,2
D38,3
D381,1
D382,1
D3904,1
D3934,2
D3941,2
D3942,2
D3946,2
D3949,1
D3961,2
D3967,2
D3968,2
D4,3
D4105,1
D4106,1
D4107,2
D4108,1
D43,3
D44,3
D49,3
D5,3
D50,3
D502,1
D503,1
D506,1
D507,1
D5109,1
D5110,1
D5111,1
D5117,1
D5119,1
D5410,1
D5414,1
D5418,1
D5433,1
D5434,1
D5438,1
D5442,1
D5443,1
D5449,1
D5452,1
D5461,1
D5465,1
D5468,1
D5471,1
D5487,1
D5491,1
D5494,1
D5495,1
D5498,1
D5515,1
D5516,1
D5526,1
D5533,1
D5562,1
D5565,1
D5566,1
D561,1
D5610,1
D5615,1
D562,1
D5644,1
D565,1
D566,1
D5662,1
D5663,1
D575,2
D576,2
D59,3
D6,3
D60,3
D6001,1
D6002,1
D6005,1
D6006,1
D6010,1
D6015,1
D6016,1
D6017,1
D6018,1
D6023,1
D6025,1
D6026,1
D6028,1
D6035,1
D6038,1
D618,2
D619,2
D6191,1
D6192,1
D6195,1
D6196,1
D6197,1
D620,1
D6202,1
D6203,1
D6204,1
D6212,1
D6214,1
D6218,1
D6219,1
D6221,1
D6224,1
D6228,1
D6229,1
D6231,1
D6241,1
D6242,1
D629,1
D6291,1
D6292,1
D630,1
D631,2
D6312,1
D6315,1
D6316,1
D6318,1
D632,2
D6329,1
D633,2
D6333,1
D6335,1
D6338,1
D635,1
D636,2
D637,2
D638,2
D6381,1
D6382,1
D6407,1
D6409,1
D6415,1
D6422,1
D6423,1
D6425,1
D6438,1
D6440,1
D6442,1
D6448,1
D6501,1
D6502,1
D6504,1
D6505,1
D6507,1
D6508,1
D6510,1
D6522,1
D6525,1
D6528,1
D6529,1
D6531,1
D6534,1
D6551,1
D656,2
D6563,1
D6564,1
D657,2
D6575,1
D658,2
D6591,1
D6592,1
D663,1
D664,1
D667,1
D668,1
D671,1
D681,1
D686,1
D696,1
D7585,1
D7586,1
D7587,1
D7588,1
D7589,1
D7590,1
D7591,1
D7592,1
D7593,1
D7594,1
D7595,1
D7596,1
D7597,1
D7598,1
D7731,1
D7733,1
D7737,1
D7741,1
D7743,1
D7747,1
D7749,1
D7751,1
D7755,1
D7757,1
D8161,1
D8162,1
D8185,1
D8186,1
D8202,1
D8203,1
D8214,1
D8253,1
D8263,1
D8267,1
D8268,1
D8271,1
D8272,1
D8280,1
D8292,1
D8404,1
D8405,1
D8407,1
D8410,1
D8411,1
D8412,1
D8470,1
D89,3
D8931,1
D8933,1
D8934,1
D8935,1
D8937,1
D8938,1
D8939,1
D8941,1
D8943,1
D8945,1
D8946,1
D8953,1
D8954,1
D9,3
D90,3
D91,1
D92,3
D93,3
D94,3
D95,3
D951,1
D952,3
D953,3
D954,3
D955,1
D956,2
D957,1
D958,2
D9581,1
D9582,1
D96,3
D9618,1
D9619,1
D9697,1
D9699,1
